,name,album,id,key,time_signature,loudness,speechiness,valence,tempo,acousticness,instrumentalness,energy,danceability,mode,duration_ms,liveness
19,행복했던 날들이었다 days gone by,Remember Us : Youth Part 2,5vubdGDI1f6Dgq8l9kYOXV,0,4,-3.712,0.0335,0.651,102.975,0.00211,0.0,0.874,0.613,0,205149,0.134
20,두통 Headache,Remember Us : Youth Part 2,04XmAoRBg3oZdc3cMb52iJ,9,4,-2.417,0.112,0.456,160.958,0.00745,0.0,0.928,0.489,0,177558,0.209
21,121U,Remember Us : Youth Part 2,6KyMCzvrP5pGHFS1LgBaKZ,5,4,-3.888,0.128,0.358,114.965,0.0221,0.0,0.868,0.572,1,194386,0.556
22,완전 멋지잖아 So Cool,Remember Us : Youth Part 2,4nZAnlkHaNUT8beplzRCTC,9,4,-2.933,0.116,0.748,200.171,0.0556,0.0,0.877,0.498,0,185412,0.121
23,마라톤 Marathon,Remember Us : Youth Part 2,1bL26HXVXnIwof5WL92HaG,9,4,-3.911,0.0475,0.788,151.993,0.411,0.0,0.696,0.663,1,220285,0.0575
24,Beautiful Feeling,Remember Us : Youth Part 2,5Sl8fL5jXQiH0uwgyTIX0B,7,4,-5.052,0.0381,0.396,180.146,0.0221,0.0,0.69,0.542,1,208737,0.0575
25,Live Your Life,UNLOCK,1i1CGV1VgC6fAT8RR9LCIZ,5,4,-3.109,0.0581,0.617,99.938,0.013,4.58e-05,0.884,0.554,1,188693,0.12
26,Breaking Down,UNLOCK,2BmaC4uGtvcREfX6san5me,6,4,-1.396,0.106,0.481,174.043,0.00866,9.17e-06,0.98,0.451,0,209040,0.334
27,Stop The Rain,UNLOCK,0FaZ3wzSV65BrZDpmCNUPq,6,4,-2.528,0.0565,0.627,121.986,0.000336,1.66e-06,0.932,0.475,0,276840,0.108
28,Say Hello,UNLOCK,25QZXjkQ1x0uFbcQ6PUeMK,7,4,-1.535,0.067,0.577,159.923,8.53e-05,2.97e-05,0.891,0.458,1,203760,0.223
29,Everybody Rock!,UNLOCK,4Ca1MMycUH2vKM1klaYxW5,10,4,-1.344,0.0392,0.629,100.002,0.0364,5.51e-06,0.934,0.662,1,195307,0.323
30,I Just,UNLOCK,2cTNYGibVAsXWSdASuOTob,4,4,-2.397,0.0416,0.734,110.105,0.147,0.0,0.751,0.621,1,205827,0.219
31,Nobody Knows,UNLOCK,5peioqMLLT5zFAxj6OqTjL,0,4,-2.061,0.12,0.475,172.408,0.00173,0.0,0.867,0.291,1,245187,0.0833
32,Falling,UNLOCK,5XhfyNZBJbQJazqg7p2OAj,2,4,-3.909,0.0403,0.116,115.985,0.00255,0.0,0.805,0.535,0,275813,0.259
33,If 〜また逢えたら〜,UNLOCK,3oGtRoDWQpGJ0gtVkdD1V4,4,4,-0.712,0.0962,0.56,188.015,0.0242,1.42e-05,0.969,0.453,1,203493,0.041
34,"Baby, it's okay",UNLOCK,3lCct1sYr4LAmxl77ga5J0,2,4,-1.78,0.0331,0.505,102.02,0.041,0.0,0.796,0.584,1,233880,0.365
35,Better Better,MOONRISE,0zN4GncJvNxZ26PvC9tD4P,6,4,-2.571,0.0404,0.276,136.002,0.0405,0.0,0.825,0.531,0,210706,0.655
36,좋아합니다 I like you,MOONRISE,54oqfjjT3vSqS72LMmTdSI,7,4,-4.94,0.0324,0.35,149.954,0.0124,0.0,0.705,0.442,1,240605,0.121
37,좋은걸 뭐 어떡해 What Can I Do,MOONRISE,1JezeCx4BBNaJqHlZKXNmj,2,4,-3.775,0.0488,0.39,130.032,0.0374,0.0,0.834,0.602,1,232667,0.43
38,남겨둘게 I'll remember,MOONRISE,3SZECB6w3mQdj9zXbmq7sL,2,3,-2.469,0.0591,0.333,154.749,0.0202,0.0,0.799,0.218,1,234621,0.255
39,놀래! Whatever!,MOONRISE,0BgiuOGVTGeyV4ef2kiUAy,9,4,-2.61,0.0425,0.283,187.803,0.00192,0.0,0.819,0.391,1,196910,0.232
40,Be Lazy,MOONRISE,6pzFJ73IsT1v7Lfd7LZA9E,9,4,-3.658,0.0326,0.944,111.929,0.0709,0.0,0.81,0.785,0,194184,0.0704
41,Hi Hello,MOONRISE,5nd63yWhfWq5VKX7r6aFMI,2,4,-4.391,0.0276,0.179,77.989,0.0719,0.0,0.666,0.494,1,232042,0.349
42,I Loved You,MOONRISE,780nTLMKXf6kX1B2yq1dFa,2,4,-2.242,0.0312,0.202,94.959,0.307,0.0,0.786,0.534,1,234535,0.328
43,그렇더라고요 When you love someone,MOONRISE,66kaQ6mH75Gt2KQjVnNmR2,0,4,-4.324,0.0266,0.597,139.97,0.192,0.0,0.5,0.602,1,226423,0.0999
44,혼자야 All Alone,MOONRISE,322t99AIkTbD4lew9tvdgs,2,4,-6.132,0.0252,0.422,141.993,0.486,0.0,0.462,0.624,1,224198,0.12
45,쏟아진다 Pouring,MOONRISE,7MXBdYJtCIZfqjsiK62pt5,2,4,-1.986,0.0549,0.312,159.995,0.00509,0.0,0.929,0.436,1,245797,0.148
46,누군가 필요해 I Need Somebody,MOONRISE,4aceMabp5rzZYoKKXsUffr,5,4,-4.759,0.0344,0.337,184.197,0.127,0.0,0.532,0.419,0,218737,0.0785
47,노력해볼게요 I'll try,MOONRISE,5KFtE7lYdWaU5ukGOE7TMv,7,4,-10.482,0.0351,0.277,136.027,0.866,0.0,0.168,0.594,1,223169,0.104
48,오늘은 내게 Lean on me,SUNRISE,694o3j3wMKMPJSdRjNMDcp,2,4,-3.316,0.0756,0.575,180.297,0.0014,0.0,0.851,0.346,1,209552,0.0894
49,반드시 웃는다 I Smile,SUNRISE,4hD74G2sLm0lxcRW5Jnl6X,4,4,-3.091,0.0336,0.25,123.928,0.00513,0.0,0.858,0.48,1,227159,0.134
50,Man in a movie,SUNRISE,2FVdoDnjz6SybHC0mJU7wa,4,3,-3.373,0.03,0.481,120.002,0.00635,0.0,0.76,0.627,0,226945,0.201
51,아 왜 I Wait,SUNRISE,0ZO2iSS12JTftv10cSCYf8,11,4,-3.744,0.231,0.346,175.048,0.00414,0.0,0.902,0.47,0,218678,0.0884
52,어떻게 말해 How Can I Say,SUNRISE,3lUTXq1JLSDQX4qBRHMBdU,11,4,-0.995,0.0866,0.506,185.971,0.00573,0.0,0.945,0.393,0,201848,0.0987
